i	k	etaik
0	0	1.000000
0	1	0.000000
1	0	0.572643
1	1	0.427357
2	0	1.000000
2	1	0.000000
3	0	1.000000
3	1	0.000000
4	0	1.000000
4	1	0.000000
5	0	1.000000
5	1	0.000000
6	0	1.000000
6	1	0.000000
7	0	1.000000
7	1	0.000000
8	0	0.572643
8	1	0.427357
9	0	1.000000
9	1	0.000000
10	0	0.572643
10	1	0.427357
11	0	1.000000
11	1	0.000000
12	0	1.000000
12	1	0.000000
13	0	0.000000
13	1	1.000000
14	0	0.000000
14	1	1.000000
15	0	0.502915
15	1	0.497085
16	0	0.539398
16	1	0.460602
17	0	0.000000
17	1	1.000000
18	0	0.000000
18	1	1.000000
19	0	0.502915
19	1	0.497085
20	0	1.000000
20	1	0.000000
21	0	1.000000
21	1	0.000000
22	0	0.463576
22	1	0.536424
23	0	0.000000
23	1	1.000000
24	0	1.000000
24	1	0.000000
25	0	0.463576
25	1	0.536424
26	0	1.000000
26	1	0.000000
27	0	1.000000
27	1	0.000000
28	0	0.463576
28	1	0.536424
29	0	0.463576
29	1	0.536424
30	0	1.000000
30	1	0.000000
31	0	0.432864
31	1	0.567136
32	0	1.000000
32	1	0.000000
33	0	1.000000
33	1	0.000000
34	0	1.000000
34	1	0.000000
35	0	1.000000
35	1	0.000000
36	0	1.000000
36	1	0.000000
37	0	1.000000
37	1	0.000000
38	0	1.000000
38	1	0.000000
39	0	1.000000
39	1	0.000000
40	0	0.496755
40	1	0.503245
41	0	0.000000
41	1	1.000000
42	0	0.000000
42	1	1.000000
43	0	0.000000
43	1	1.000000
44	0	1.000000
44	1	0.000000
45	0	0.000000
45	1	1.000000
46	0	0.460662
46	1	0.539338
47	0	0.000000
47	1	1.000000
48	0	0.460662
48	1	0.539338
49	0	0.460662
49	1	0.539338

