i	k	etaik
0	0	0.000000
0	1	0.999954
0	2	0.000000
0	3	0.000046
0	4	0.000000
1	0	0.000000
1	1	0.999955
1	2	0.000000
1	3	0.000045
1	4	0.000000
2	0	0.415731
2	1	0.000000
2	2	0.000000
2	3	0.584033
2	4	0.000236
3	0	0.000000
3	1	0.999963
3	2	0.000000
3	3	0.000037
3	4	0.000000
4	0	0.000000
4	1	0.999996
4	2	0.000000
4	3	0.000004
4	4	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	1.000000
5	4	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.680471
6	4	0.319529
7	0	0.415733
7	1	0.000000
7	2	0.000000
7	3	0.584037
7	4	0.000229
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	1.000000
8	4	0.000000
9	0	0.415731
9	1	0.000000
9	2	0.000000
9	3	0.584032
9	4	0.000237
10	0	0.486822
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.513178
11	0	0.405353
11	1	0.000000
11	2	0.594647
11	3	0.000000
11	4	0.000000
12	0	0.000000
12	1	0.000000
12	2	0.000000
12	3	0.000000
12	4	1.000000
13	0	0.000000
13	1	0.000000
13	2	1.000000
13	3	0.000000
13	4	0.000000
14	0	0.000000
14	1	0.000000
14	2	0.430581
14	3	0.000000
14	4	0.569419
15	0	0.000000
15	1	0.000000
15	2	1.000000
15	3	0.000000
15	4	0.000000
16	0	0.405353
16	1	0.000000
16	2	0.594647
16	3	0.000000
16	4	0.000000
17	0	0.000000
17	1	0.000000
17	2	1.000000
17	3	0.000000
17	4	0.000000
18	0	0.000000
18	1	0.000000
18	2	1.000000
18	3	0.000000
18	4	0.000000
19	0	0.000000
19	1	0.000000
19	2	1.000000
19	3	0.000000
19	4	0.000000
20	0	0.000000
20	1	0.000000
20	2	0.000000
20	3	0.423755
20	4	0.576245
21	0	0.000000
21	1	0.000000
21	2	0.000000
21	3	1.000000
21	4	0.000000
22	0	0.000000
22	1	0.000000
22	2	0.000000
22	3	1.000000
22	4	0.000000
23	0	0.000000
23	1	0.000000
23	2	0.000000
23	3	1.000000
23	4	0.000000
24	0	0.000000
24	1	0.000000
24	2	0.000000
24	3	1.000000
24	4	0.000000
25	0	0.000000
25	1	0.000000
25	2	0.000000
25	3	1.000000
25	4	0.000000
26	0	0.000000
26	1	0.000000
26	2	0.000000
26	3	1.000000
26	4	0.000000
27	0	0.000000
27	1	0.000000
27	2	0.000000
27	3	1.000000
27	4	0.000000
28	0	0.000000
28	1	0.000000
28	2	0.000000
28	3	1.000000
28	4	0.000000
29	0	0.000000
29	1	0.000000
29	2	0.000000
29	3	1.000000
29	4	0.000000
30	0	0.000000
30	1	0.000000
30	2	0.000000
30	3	1.000000
30	4	0.000000
31	0	0.675844
31	1	0.000020
31	2	0.000000
31	3	0.324136
31	4	0.000000
32	0	0.000000
32	1	0.000000
32	2	0.000000
32	3	0.481400
32	4	0.518600
33	0	0.000000
33	1	0.000000
33	2	0.000000
33	3	1.000000
33	4	0.000000
34	0	0.415733
34	1	0.000000
34	2	0.000000
34	3	0.584037
34	4	0.000230
35	0	0.415734
35	1	0.000000
35	2	0.000000
35	3	0.584038
35	4	0.000228
36	0	0.000000
36	1	0.000000
36	2	0.000000
36	3	1.000000
36	4	0.000000
37	0	0.675844
37	1	0.000034
37	2	0.000000
37	3	0.324121
37	4	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.680471
38	4	0.319529
39	0	0.761361
39	1	0.000000
39	2	0.000000
39	3	0.000000
39	4	0.238639
40	0	0.632885
40	1	0.000000
40	2	0.000000
40	3	0.367115
40	4	0.000000
41	0	0.497995
41	1	0.000000
41	2	0.000000
41	3	0.502005
41	4	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	1.000000
42	4	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	1.000000
43	4	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	1.000000
44	4	0.000000
45	0	0.415729
45	1	0.000000
45	2	0.000000
45	3	0.584028
45	4	0.000243
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	1.000000
46	4	0.000000
47	0	1.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
47	4	0.000000
48	0	0.415733
48	1	0.000000
48	2	0.000000
48	3	0.584037
48	4	0.000229
49	0	0.000000
49	1	0.000000
49	2	0.000000
49	3	1.000000
49	4	0.000000

