i	k	etaik
0	0	0.000000
0	1	0.000001
0	2	0.101687
0	3	0.485641
0	4	0.000000
0	5	0.000000
0	6	0.000000
0	7	0.412671
0	8	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.356861
1	3	0.568893
1	4	0.000000
1	5	0.000000
1	6	0.000000
1	7	0.074246
1	8	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.748632
2	3	0.000000
2	4	0.000000
2	5	0.000000
2	6	0.000000
2	7	0.251368
2	8	0.000000
3	0	0.000000
3	1	0.000000
3	2	0.535959
3	3	0.000000
3	4	0.000000
3	5	0.000000
3	6	0.464041
3	7	0.000000
3	8	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	0.000000
4	5	0.000000
4	6	1.000000
4	7	0.000000
4	8	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.537793
5	4	0.000000
5	5	0.000000
5	6	0.462207
5	7	0.000000
5	8	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	1.000000
6	4	0.000000
6	5	0.000000
6	6	0.000000
6	7	0.000000
6	8	0.000000
7	0	0.505755
7	1	0.000001
7	2	0.327010
7	3	0.000250
7	4	0.000000
7	5	0.000000
7	6	0.000000
7	7	0.166984
7	8	0.000000
8	0	0.000000
8	1	0.000000
8	2	0.585695
8	3	0.414305
8	4	0.000000
8	5	0.000000
8	6	0.000000
8	7	0.000000
8	8	0.000000
9	0	0.000000
9	1	0.000000
9	2	0.681307
9	3	0.000000
9	4	0.000000
9	5	0.000000
9	6	0.000000
9	7	0.318693
9	8	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.348580
10	3	0.000000
10	4	0.000000
10	5	0.000000
10	6	0.490953
10	7	0.160467
10	8	0.000000
11	0	0.000000
11	1	0.000000
11	2	0.000000
11	3	0.000000
11	4	0.000000
11	5	0.000000
11	6	1.000000
11	7	0.000000
11	8	0.000000
12	0	0.000000
12	1	0.505907
12	2	0.310217
12	3	0.000000
12	4	0.000000
12	5	0.000000
12	6	0.000000
12	7	0.183876
12	8	0.000000
13	0	0.506873
13	1	0.000001
13	2	0.000000
13	3	0.000126
13	4	0.493000
13	5	0.000000
13	6	0.000000
13	7	0.000000
13	8	0.000000
14	0	0.000000
14	1	0.481986
14	2	0.000000
14	3	0.000004
14	4	0.000000
14	5	0.000000
14	6	0.518010
14	7	0.000000
14	8	0.000000
15	0	0.000000
15	1	0.481985
15	2	0.000000
15	3	0.000004
15	4	0.000000
15	5	0.000000
15	6	0.518010
15	7	0.000000
15	8	0.000000
16	0	0.000000
16	1	1.000000
16	2	0.000000
16	3	0.000000
16	4	0.000000
16	5	0.000000
16	6	0.000000
16	7	0.000000
16	8	0.000000
17	0	0.000000
17	1	0.511536
17	2	0.000000
17	3	0.000162
17	4	0.000000
17	5	0.000000
17	6	0.488302
17	7	0.000000
17	8	0.000000
18	0	0.000000
18	1	0.000000
18	2	0.443710
18	3	0.000000
18	4	0.000000
18	5	0.000000
18	6	0.000000
18	7	0.556290
18	8	0.000000
19	0	0.000000
19	1	0.511605
19	2	0.000000
19	3	0.000085
19	4	0.000000
19	5	0.000000
19	6	0.488309
19	7	0.000000
19	8	0.000000
20	0	0.091498
20	1	0.000000
20	2	0.000000
20	3	0.434973
20	4	0.000000
20	5	0.473528
20	6	0.000000
20	7	0.000000
20	8	0.000000
21	0	0.091313
21	1	0.000000
21	2	0.000000
21	3	0.435064
21	4	0.000000
21	5	0.473623
21	6	0.000000
21	7	0.000000
21	8	0.000000
22	0	0.091551
22	1	0.000000
22	2	0.000000
22	3	0.434948
22	4	0.000000
22	5	0.473501
22	6	0.000000
22	7	0.000000
22	8	0.000000
23	0	0.091259
23	1	0.000000
23	2	0.000000
23	3	0.435090
23	4	0.000000
23	5	0.473651
23	6	0.000000
23	7	0.000000
23	8	0.000000
24	0	0.091366
24	1	0.000000
24	2	0.000000
24	3	0.435038
24	4	0.000000
24	5	0.473596
24	6	0.000000
24	7	0.000000
24	8	0.000000
25	0	0.000000
25	1	0.000000
25	2	0.000000
25	3	0.000000
25	4	0.000000
25	5	1.000000
25	6	0.000000
25	7	0.000000
25	8	0.000000
26	0	0.009566
26	1	0.000000
26	2	0.000000
26	3	0.000152
26	4	0.492456
26	5	0.000000
26	6	0.000000
26	7	0.000000
26	8	0.497826
27	0	0.032539
27	1	0.000000
27	2	0.276690
27	3	0.000073
27	4	0.000000
27	5	0.473584
27	6	0.000000
27	7	0.217113
27	8	0.000000
28	0	0.000000
28	1	0.000000
28	2	0.000000
28	3	1.000000
28	4	0.000000
28	5	0.000000
28	6	0.000000
28	7	0.000000
28	8	0.000000
29	0	0.091361
29	1	0.000000
29	2	0.000000
29	3	0.435040
29	4	0.000000
29	5	0.473599
29	6	0.000000
29	7	0.000000
29	8	0.000000
30	0	0.000404
30	1	0.000000
30	2	0.000000
30	3	0.000000
30	4	0.542854
30	5	0.000000
30	6	0.000000
30	7	0.000000
30	8	0.456742
31	0	0.499996
31	1	0.000000
31	2	0.000000
31	3	0.000000
31	4	0.000000
31	5	0.000000
31	6	0.000000
31	7	0.000000
31	8	0.500004
32	0	0.000000
32	1	0.000000
32	2	0.000000
32	3	0.000000
32	4	0.000000
32	5	0.000000
32	6	0.000000
32	7	0.000000
32	8	1.000000
33	0	0.000000
33	1	0.000000
33	2	0.000000
33	3	0.000000
33	4	1.000000
33	5	0.000000
33	6	0.000000
33	7	0.000000
33	8	0.000000
34	0	0.505434
34	1	0.000002
34	2	0.168245
34	3	0.000307
34	4	0.000000
34	5	0.000000
34	6	0.000000
34	7	0.326012
34	8	0.000001
35	0	0.000481
35	1	0.000000
35	2	0.000000
35	3	0.000000
35	4	0.542841
35	5	0.000000
35	6	0.000000
35	7	0.000000
35	8	0.456678
36	0	0.000000
36	1	0.000000
36	2	0.000000
36	3	0.000000
36	4	1.000000
36	5	0.000000
36	6	0.000000
36	7	0.000000
36	8	0.000000
37	0	0.506636
37	1	0.000002
37	2	0.000000
37	3	0.000432
37	4	0.492928
37	5	0.000000
37	6	0.000000
37	7	0.000000
37	8	0.000002
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
38	4	1.000000
38	5	0.000000
38	6	0.000000
38	7	0.000000
38	8	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
39	4	1.000000
39	5	0.000000
39	6	0.000000
39	7	0.000000
39	8	0.000000
40	0	0.505912
40	1	0.000001
40	2	0.390382
40	3	0.000231
40	4	0.000000
40	5	0.000000
40	6	0.000000
40	7	0.103475
40	8	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.313944
41	3	0.000000
41	4	0.000000
41	5	0.000000
41	6	0.490922
41	7	0.195134
41	8	0.000000
42	0	0.000000
42	1	0.506081
42	2	0.389401
42	3	0.000000
42	4	0.000000
42	5	0.000000
42	6	0.000000
42	7	0.104518
42	8	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.788456
43	3	0.000000
43	4	0.000000
43	5	0.000000
43	6	0.000000
43	7	0.211543
43	8	0.000000
44	0	1.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
44	4	0.000000
44	5	0.000000
44	6	0.000000
44	7	0.000000
44	8	0.000000
45	0	0.500000
45	1	0.499998
45	2	0.000000
45	3	0.000001
45	4	0.000000
45	5	0.000000
45	6	0.000000
45	7	0.000000
45	8	0.000001
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
46	4	0.393715
46	5	0.000000
46	6	0.000000
46	7	0.606285
46	8	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
47	4	0.000000
47	5	0.000000
47	6	1.000000
47	7	0.000000
47	8	0.000000
48	0	0.505888
48	1	0.000001
48	2	0.392517
48	3	0.000268
48	4	0.000000
48	5	0.000000
48	6	0.000000
48	7	0.101326
48	8	0.000000
49	0	1.000000
49	1	0.000000
49	2	0.000000
49	3	0.000000
49	4	0.000000
49	5	0.000000
49	6	0.000000
49	7	0.000000
49	8	0.000000
50	0	0.000000
50	1	0.000003
50	2	0.379847
50	3	0.486227
50	4	0.000000
50	5	0.000000
50	6	0.000000
