i	k	etaik
0	0	0.000000
0	1	0.475844
0	2	0.524156
0	3	0.000000
0	4	0.000000
0	5	0.000000
0	6	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.529532
1	3	0.000000
1	4	0.000000
1	5	0.470468
1	6	0.000000
2	0	0.000000
2	1	0.502833
2	2	0.000000
2	3	0.000000
2	4	0.000000
2	5	0.497167
2	6	0.000000
3	0	0.000000
3	1	0.000000
3	2	0.000000
3	3	0.000000
3	4	0.483700
3	5	0.516300
3	6	0.000000
4	0	0.000000
4	1	0.458551
4	2	0.541449
4	3	0.000000
4	4	0.000000
4	5	0.000000
4	6	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	0.516716
5	6	0.483284
6	0	0.000000
6	1	0.000000
6	2	1.000000
6	3	0.000000
6	4	0.000000
6	5	0.000000
6	6	0.000000
7	0	0.000000
7	1	0.475844
7	2	0.524156
7	3	0.000000
7	4	0.000000
7	5	0.000000
7	6	0.000000
8	0	0.000000
8	1	0.000000
8	2	0.476912
8	3	0.000000
8	4	0.523088
8	5	0.000000
8	6	0.000000
9	0	0.000000
9	1	0.000000
9	2	0.529532
9	3	0.000000
9	4	0.000000
9	5	0.470468
9	6	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.427840
10	3	0.000000
10	4	0.523078
10	5	0.000000
10	6	0.049082
11	0	0.088751
11	1	0.485296
11	2	0.383129
11	3	0.000000
11	4	0.000000
11	5	0.000000
11	6	0.042824
12	0	0.000000
12	1	0.000000
12	2	0.484572
12	3	0.000000
12	4	0.515428
12	5	0.000000
12	6	0.000000
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	0.000000
13	4	0.530413
13	5	0.469587
13	6	0.000000
14	0	0.000000
14	1	0.000000
14	2	0.000000
14	3	0.000000
14	4	0.499215
14	5	0.500785
14	6	0.000000
15	0	0.372849
15	1	0.340921
15	2	0.239837
15	3	0.000000
15	4	0.000000
15	5	0.000000
15	6	0.046393
16	0	0.000000
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	1.000000
16	5	0.000000
16	6	0.000000
17	0	0.000000
17	1	0.000000
17	2	1.000000
17	3	0.000000
17	4	0.000000
17	5	0.000000
17	6	0.000000
18	0	0.000000
18	1	0.000000
18	2	0.427840
18	3	0.000000
18	4	0.523078
18	5	0.000000
18	6	0.049082
19	0	0.000000
19	1	0.000000
19	2	0.427840
19	3	0.000000
19	4	0.523078
19	5	0.000000
19	6	0.049082
20	0	0.000000
20	1	0.502833
20	2	0.000000
20	3	0.000000
20	4	0.000000
20	5	0.497167
20	6	0.000000
21	0	0.000000
21	1	0.000000
21	2	0.000000
21	3	0.000000
21	4	0.000000
21	5	0.451418
21	6	0.548582
22	0	0.000000
22	1	0.000000
22	2	0.000000
22	3	0.000000
22	4	0.000000
22	5	1.000000
22	6	0.000000
23	0	0.000000
23	1	0.000000
23	2	0.000000
23	3	0.000000
23	4	0.000000
23	5	0.516716
23	6	0.483284
24	0	0.000000
24	1	0.000000
24	2	0.431622
24	3	0.000000
24	4	0.000000
24	5	0.000000
24	6	0.568378
25	0	0.000000
25	1	0.000000
25	2	0.000000
25	3	0.000000
25	4	0.000000
25	5	0.000000
25	6	1.000000
26	0	0.928371
26	1	0.000000
26	2	0.000000
26	3	0.000000
26	4	0.000000
26	5	0.071629
26	6	0.000000
27	0	0.000000
27	1	0.000000
27	2	0.000000
27	3	0.000000
27	4	0.000000
27	5	0.516716
27	6	0.483284
28	0	0.000000
28	1	0.000000
28	2	1.000000
28	3	0.000000
28	4	0.000000
28	5	0.000000
28	6	0.000000
29	0	0.000000
29	1	0.000000
29	2	0.431622
29	3	0.000000
29	4	0.000000
29	5	0.000000
29	6	0.568378
30	0	0.794799
30	1	0.000000
30	2	0.022565
30	3	0.178737
30	4	0.000000
30	5	0.000000
30	6	0.003899
31	0	0.000000
31	1	0.000000
31	2	0.529532
31	3	0.000000
31	4	0.000000
31	5	0.470468
31	6	0.000000
32	0	0.000000
32	1	0.000000
32	2	1.000000
32	3	0.000000
32	4	0.000000
32	5	0.000000
32	6	0.000000
33	0	0.928371
33	1	0.000000
33	2	0.000000
33	3	0.000000
33	4	0.000000
33	5	0.071629
33	6	0.000000
34	0	0.000000
34	1	0.000000
34	2	1.000000
34	3	0.000000
34	4	0.000000
34	5	0.000000
34	6	0.000000
35	0	0.000000
35	1	0.000000
35	2	0.000000
35	3	0.000000
35	4	0.000000
35	5	1.000000
35	6	0.000000
36	0	0.000000
36	1	0.000000
36	2	0.529532
36	3	0.000000
36	4	0.000000
36	5	0.470468
36	6	0.000000
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
37	4	0.000000
37	5	1.000000
37	6	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
38	4	0.000000
38	5	1.000000
38	6	0.000000
39	0	0.794798
39	1	0.000000
39	2	0.022564
39	3	0.178737
39	4	0.000000
39	5	0.000000
39	6	0.003901
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
40	4	0.499215
40	5	0.500785
40	6	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
41	4	0.000000
