i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.498480
0	3	0.000000
0	4	0.000000
0	5	0.501520
1	0	0.000000
1	1	0.000000
1	2	0.498480
1	3	0.000000
1	4	0.000000
1	5	0.501520
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
2	4	0.000000
2	5	1.000000
3	0	0.000000
3	1	0.000000
3	2	1.000000
3	3	0.000000
3	4	0.000000
3	5	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.498480
4	3	0.000000
4	4	0.000000
4	5	0.501520
5	0	0.000000
5	1	1.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.000000
6	4	0.000000
6	5	1.000000
7	0	0.000000
7	1	0.000000
7	2	0.498480
7	3	0.000000
7	4	0.000000
7	5	0.501520
8	0	0.000000
8	1	0.000000
8	2	1.000000
8	3	0.000000
8	4	0.000000
8	5	0.000000
9	0	0.000000
9	1	0.000000
9	2	0.000000
9	3	0.000000
9	4	0.000000
9	5	1.000000
10	0	0.532504
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.467496
10	5	0.000000
11	0	1.000000
11	1	0.000000
11	2	0.000000
11	3	0.000000
11	4	0.000000
11	5	0.000000
12	0	0.000000
12	1	0.000000
12	2	0.000015
12	3	0.000000
12	4	0.490478
12	5	0.509507
13	0	0.512018
13	1	0.487982
13	2	0.000000
13	3	0.000000
13	4	0.000000
13	5	0.000000
14	0	0.000000
14	1	0.488167
14	2	0.000002
14	3	0.000000
14	4	0.511831
14	5	0.000000
15	0	0.000000
15	1	0.000000
15	2	0.000000
15	3	0.000000
15	4	0.456770
15	5	0.543230
16	0	0.491540
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	0.000000
16	5	0.508460
17	0	0.000000
17	1	0.513748
17	2	0.103146
17	3	0.000000
17	4	0.383106
17	5	0.000000
18	0	0.000000
18	1	0.000000
18	2	0.000000
18	3	0.000000
18	4	1.000000
