i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.000000
0	4	0.344147
0	5	0.000000
0	6	0.000000
0	7	0.655853
1	0	0.502771
1	1	0.000000
1	2	0.000000
1	3	0.000000
1	4	0.342365
1	5	0.000000
1	6	0.000000
1	7	0.154864
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
2	4	0.290252
2	5	0.000000
2	6	0.000000
2	7	0.709748
3	0	0.000000
3	1	0.000000
3	2	0.000000
3	3	0.000000
3	4	0.344147
3	5	0.000000
3	6	0.000000
3	7	0.655853
4	0	0.502881
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	0.000000
4	5	0.000000
4	6	0.000000
4	7	0.497118
5	0	0.000000
5	1	1.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	0.000000
5	6	0.000000
5	7	0.000000
6	0	0.000000
6	1	0.510671
6	2	0.000000
6	3	0.000000
6	4	0.000000
6	5	0.000000
6	6	0.000000
6	7	0.489328
7	0	0.000000
7	1	0.510308
7	2	0.000000
7	3	0.000000
7	4	0.338953
7	5	0.000000
7	6	0.000000
7	7	0.150739
8	0	0.429166
8	1	0.570834
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.000000
8	6	0.000000
8	7	0.000000
9	0	0.547637
9	1	0.452362
9	2	0.000000
9	3	0.000000
9	4	0.000000
9	5	0.000000
9	6	0.000000
9	7	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.239845
10	5	0.000000
10	6	0.000000
10	7	0.760155
11	0	0.000000
11	1	0.000000
11	2	0.000000
11	3	0.000000
11	4	0.000000
11	5	0.517368
11	6	0.000000
11	7	0.482632
12	0	0.000000
12	1	0.000000
12	2	0.000000
12	3	0.000000
12	4	0.000000
12	5	0.000000
12	6	0.481555
12	7	0.518445
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	0.000000
13	4	0.000000
13	5	0.000000
13	6	0.000000
13	7	1.000000
14	0	0.000000
