i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	1.000000
1	0	0.000000
1	1	0.000000
1	2	1.000000
2	0	0.506338
2	1	0.000000
2	2	0.493662
3	0	0.000000
3	1	0.000000
3	2	1.000000
4	0	0.506338
4	1	0.000000
4	2	0.493662
5	0	0.000000
5	1	0.532824
5	2	0.467176
6	0	0.460277
6	1	0.000000
6	2	0.539723
7	0	0.000000
7	1	0.000000
7	2	1.000000
8	0	0.000000
8	1	0.000000
8	2	1.000000
9	0	1.000000
9	1	0.000000
9	2	0.000000
10	0	0.000000
10	1	0.000000
10	2	1.000000
11	0	0.000000
11	1	0.000000
11	2	1.000000
12	0	1.000000
12	1	0.000000
12	2	0.000000
13	0	1.000000
13	1	0.000000
13	2	0.000000
14	0	1.000000
14	1	0.000000
14	2	0.000000
15	0	1.000000
15	1	0.000000
15	2	0.000000
16	0	1.000000
16	1	0.000000
16	2	0.000000
17	0	0.671808
17	1	0.000000
17	2	0.328192
18	0	1.000000
18	1	0.000000
18	2	0.000000
19	0	0.506957
19	1	0.000000
19	2	0.493043
20	0	0.000000
20	1	0.530146
20	2	0.469854
21	0	1.000000
21	1	0.000000
21	2	0.000000
22	0	0.000000
22	1	0.000000
22	2	1.000000
23	0	0.000000
23	1	0.530145
23	2	0.469855
24	0	0.000000
24	1	0.000000
24	2	1.000000
25	0	0.000000
25	1	0.000000
25	2	1.000000
26	0	0.000000
26	1	0.000000
26	2	1.000000
27	0	0.000000
27	1	0.507082
27	2	0.492918
28	0	0.000000
28	1	0.000000
28	2	1.000000
29	0	0.000000
29	1	1.000000
29	2	0.000000
30	0	1.000000
30	1	0.000000
30	2	0.000000
31	0	0.579301
31	1	0.000000
31	2	0.420698
32	0	0.499790
32	1	0.500210
32	2	0.000000
33	0	1.000000
33	1	0.000000
33	2	0.000000
34	0	0.579301
34	1	0.000000
34	2	0.420698
35	0	0.498901
35	1	0.501099
35	2	0.000000
36	0	1.000000
36	1	0.000000
36	2	0.000000
37	0	1.000000
37	1	0.000000
