i	k	etaik
0	0	1.000000
0	1	0.000000
0	2	0.000000
1	0	0.502099
1	1	0.000000
1	2	0.497901
2	0	1.000000
2	1	0.000000
2	2	0.000000
3	0	0.502099
3	1	0.000000
3	2	0.497901
4	0	1.000000
4	1	0.000000
4	2	0.000000
5	0	1.000000
5	1	0.000000
5	2	0.000000
6	0	0.000000
6	1	0.000000
6	2	1.000000
7	0	0.502099
7	1	0.000000
7	2	0.497901
8	0	1.000000
8	1	0.000000
8	2	0.000000
9	0	1.000000
9	1	0.000000
9	2	0.000000
10	0	1.000000
10	1	0.000000
10	2	0.000000
11	0	0.477176
11	1	0.000000
11	2	0.522824
12	0	0.502099
12	1	0.000000
12	2	0.497901
13	0	1.000000
13	1	0.000000
13	2	0.000000
14	0	1.000000
14	1	0.000000
14	2	0.000000
15	0	1.000000
15	1	0.000000
15	2	0.000000
16	0	1.000000
16	1	0.000000
16	2	0.000000
17	0	0.502099
17	1	0.000000
17	2	0.497901
18	0	0.502099
18	1	0.000000
18	2	0.497901
19	0	0.477176
19	1	0.000000
19	2	0.522824
20	0	1.000000
20	1	0.000000
20	2	0.000000
21	0	1.000000
21	1	0.000000
21	2	0.000000
22	0	1.000000
22	1	0.000000
22	2	0.000000
23	0	1.000000
23	1	0.000000
23	2	0.000000
24	0	1.000000
24	1	0.000000
24	2	0.000000
25	0	1.000000
25	1	0.000000
25	2	0.000000
26	0	1.000000
26	1	0.000000
26	2	0.000000
27	0	0.315459
27	1	0.684541
27	2	0.000000
28	0	1.000000
28	1	0.000000
28	2	0.000000
29	0	0.315459
29	1	0.684541
29	2	0.000000
30	0	1.000000
30	1	0.000000
30	2	0.000000
31	0	1.000000
31	1	0.000000
31	2	0.000000
32	0	1.000000
32	1	0.000000
32	2	0.000000
33	0	1.000000
33	1	0.000000
33	2	0.000000
34	0	1.000000
34	1	0.000000
34	2	0.000000
35	0	1.000000
35	1	0.000000
35	2	0.000000
36	0	1.000000
36	1	0.000000
36	2	0.000000
37	0	0.843639
37	1	0.156361
37	2	0.000000
38	0	1.000000
38	1	0.000000
38	2	0.000000
39	0	1.000000
39	1	0.000000
39	2	0.000000
40	0	0.502099
40	1	0.000000
40	2	0.497901
41	0	1.000000
41	1	0.000000
41	2	0.000000
42	0	1.000000
42	1	0.000000
42	2	0.000000
43	0	1.000000
43	1	0.000000
43	2	0.000000
44	0	0.000000
44	1	0.000000
44	2	1.000000
45	0	0.843639
45	1	0.156361
45	2	0.000000
46	0	1.000000
46	1	0.000000
46	2	0.000000
47	0	0.502099
47	1	0.000000
47	2	0.497901
48	0	0.502099
48	1	0.000000
48	2	0.497901
49	0	0.502099
49	1	0.000000
49	2	0.497901
50	0	0.477432
50	1	0.000000
50	2	0.522568
51	0	1.000000
51	1	0.000000
51	2	0.000000
52	0	0.502099
52	1	0.000000
52	2	0.497901
53	0	1.000000
53	1	0.000000
53	2	0.000000
54	0	1.000000
54	1	0.000000
54	2	0.000000
55	0	0.502099
55	1	0.000000
55	2	0.497901
56	0	0.315460
56	1	0.684540
